"Start";"Duration";"Pitch";"Velocity";"Instrument"
65.0;0.5;57.0;0.7086600000000001;"Piano"
65.0;0.5;78.0;0.7086600000000001;"Piano"
65.0;0.5;81.0;0.7086600000000001;"Piano"
65.5;0.5;62.0;0.7086600000000001;"Piano"
65.5;0.25;74.0;0.7086600000000001;"Piano"
65.5;0.25;78.0;0.7086600000000001;"Piano"
65.75;0.25;76.0;0.7086600000000001;"Piano"
65.75;0.25;79.0;0.7086600000000001;"Piano"
66.0;0.5;45.0;0.7086600000000001;"Piano"
66.0;0.25;78.0;0.7086600000000001;"Piano"
66.0;0.25;81.0;0.7086600000000001;"Piano"
66.25;0.25;69.0;0.7086600000000001;"Piano"
66.5;0.5;49.0;0.7086600000000001;"Piano"
66.5;0.25;71.0;0.7086600000000001;"Piano"
66.75;0.25;73.0;0.7086600000000001;"Piano"
67.0;0.5;52.0;0.7086600000000001;"Piano"
67.0;0.25;74.0;0.7086600000000001;"Piano"
67.25;0.25;76.0;0.7086600000000001;"Piano"
67.5;0.5;57.0;0.7086600000000001;"Piano"
67.5;0.25;78.0;0.7086600000000001;"Piano"
67.75;0.25;79.0;0.7086600000000001;"Piano"
68.0;0.5;47.0;0.7086600000000001;"Piano"
68.0;0.5;74.0;0.7086600000000001;"Piano"
68.0;0.5;78.0;0.7086600000000001;"Piano"
68.5;0.5;50.0;0.7086600000000001;"Piano"
68.5;0.25;71.0;0.7086600000000001;"Piano"
68.5;0.25;74.0;0.7086600000000001;"Piano"
68.75;0.25;73.0;0.7086600000000001;"Piano"
68.75;0.25;76.0;0.7086600000000001;"Piano"
69.0;0.5;54.0;0.7086600000000001;"Piano"
69.0;0.5;74.0;0.7086600000000001;"Piano"
69.0;0.5;78.0;0.7086600000000001;"Piano"
69.5;0.5;59.0;0.7086600000000001;"Piano"
69.5;0.25;62.0;0.7086600000000001;"Piano"
69.75;0.25;64.0;0.7086600000000001;"Piano"
70.0;0.5;42.0;0.7086600000000001;"Piano"
70.0;0.25;66.0;0.7086600000000001;"Piano"
70.25;0.25;67.0;0.7086600000000001;"Piano"
70.5;0.5;45.0;0.7086600000000001;"Piano"
70.5;0.25;66.0;0.7086600000000001;"Piano"
70.75;0.25;64.0;0.7086600000000001;"Piano"
71.0;0.5;49.0;0.7086600000000001;"Piano"
71.0;0.25;66.0;0.7086600000000001;"Piano"
71.25;0.25;74.0;0.7086600000000001;"Piano"
71.5;0.5;54.0;0.7086600000000001;"Piano"
71.5;0.25;73.0;0.7086600000000001;"Piano"
71.75;0.25;74.0;0.7086600000000001;"Piano"
